disc_rank,question_id,category,label_hard,mean_score,std_score,score_Phi_3.5_mini_Instruct,score_gemma_2_9b_it,score_Yi_1.5_9B_Chat,score_Mistral_7B_Instruct_v0.3,score_SOLAR_10.7B_Instruct,score_Zephyr_7B_beta,score_Llama_3.1_8B_Instruct
17,115,math,True,7.5714,1.7895,9.0000,8.5000,9.0000,4.0000,8.0000,6.5000,8.0000
18,134,extraction,False,7.3571,1.6511,8.0000,8.5000,8.0000,8.5000,5.5000,4.5000,8.5000
19,131,extraction,False,7.7857,1.6293,8.5000,9.5000,8.0000,8.5000,8.5000,4.5000,7.0000
20,94,roleplay,False,8.0000,1.5811,9.0000,8.5000,8.5000,8.5000,8.0000,9.0000,4.5000
21,130,coding,True,7.1429,1.5469,8.0000,8.5000,5.5000,4.5000,7.5000,7.5000,8.5000
22,106,reasoning,True,6.9286,1.5119,8.0000,7.5000,8.0000,7.5000,5.0000,4.5000,8.0000
23,136,extraction,False,6.7857,1.4392,8.0000,7.5000,8.0000,7.0000,4.5000,5.0000,7.5000
24,99,roleplay,False,5.5000,1.4142,6.5000,7.5000,6.0000,4.0000,3.5000,5.0000,6.0000
25,124,coding,True,6.7857,1.4100,6.0000,9.0000,7.5000,7.5000,6.5000,6.5000,4.5000
26,145,stem,False,7.9286,1.3973,8.0000,9.0000,9.0000,8.5000,5.0000,7.5000,8.5000
27,121,coding,True,7.7143,1.3801,9.0000,8.5000,8.0000,8.5000,5.5000,6.0000,8.5000
28,101,reasoning,True,7.2143,1.2536,8.0000,7.5000,8.0000,7.5000,7.0000,8.0000,4.5000
29,95,roleplay,False,6.9286,1.1339,5.5000,7.5000,8.5000,7.0000,6.0000,6.0000,8.0000
30,129,coding,True,6.5000,1.1180,7.5000,8.0000,6.0000,6.5000,6.5000,4.5000,6.5000
31,102,reasoning,True,6.3571,1.1073,7.0000,6.5000,7.5000,6.5000,6.5000,6.5000,4.0000
32,90,writing,False,7.2857,1.0351,8.0000,8.5000,5.5000,7.5000,7.0000,6.5000,8.0000
33,132,extraction,False,7.2857,1.0351,7.5000,7.5000,9.0000,6.5000,8.0000,6.5000,6.0000
34,139,extraction,False,5.7857,1.0351,5.5000,6.0000,5.0000,5.0000,5.5000,5.5000,8.0000
35,81,writing,False,7.7143,0.8591,8.5000,8.5000,7.5000,8.0000,6.0000,8.0000,7.5000
36,138,extraction,False,7.2857,0.8092,5.5000,7.5000,8.0000,7.5000,7.5000,7.5000,7.5000
37,135,extraction,False,7.0000,0.7638,7.0000,7.0000,7.0000,7.0000,5.5000,7.5000,8.0000
38,160,humanities,False,8.5714,0.7319,8.5000,9.0000,7.0000,9.0000,9.0000,8.5000,9.0000
39,92,roleplay,False,7.5000,0.7071,8.0000,8.0000,7.5000,7.5000,6.0000,7.5000,8.0000
40,98,roleplay,False,8.0000,0.7071,8.0000,8.0000,8.5000,8.5000,6.5000,8.0000,8.5000
41,133,extraction,False,7.4286,0.6726,8.5000,8.0000,7.0000,7.0000,6.5000,7.5000,7.5000
42,103,reasoning,True,8.2857,0.6362,8.5000,8.5000,9.0000,8.0000,8.5000,7.0000,8.5000
43,120,math,True,7.8571,0.6268,9.0000,8.0000,8.0000,7.0000,7.5000,7.5000,8.0000
44,155,humanities,False,8.5000,0.5774,9.0000,9.0000,8.5000,8.5000,8.0000,7.5000,9.0000
45,84,writing,False,7.7857,0.5669,9.0000,7.5000,7.5000,8.0000,7.5000,7.5000,7.5000
46,87,writing,False,8.2143,0.5669,9.0000,8.5000,8.5000,8.0000,7.5000,7.5000,8.5000
47,107,reasoning,True,7.6429,0.5563,8.0000,7.5000,7.5000,7.0000,8.5000,7.0000,8.0000
48,142,stem,False,7.8571,0.5563,7.5000,8.5000,8.5000,8.0000,7.0000,7.5000,8.0000
49,151,humanities,False,8.1429,0.5563,9.0000,8.5000,8.0000,8.0000,7.5000,7.5000,8.5000
50,157,humanities,False,8.3571,0.5563,9.0000,8.5000,9.0000,8.0000,8.5000,8.0000,7.5000
51,83,writing,False,7.4286,0.5345,7.0000,7.5000,8.0000,8.0000,7.5000,7.5000,6.5000
52,100,roleplay,False,8.2857,0.4880,8.5000,8.5000,8.5000,8.0000,7.5000,9.0000,8.0000
53,150,stem,False,8.2857,0.4880,8.5000,8.0000,9.0000,8.5000,8.5000,7.5000,8.0000
54,154,humanities,False,8.2143,0.4880,8.5000,9.0000,8.5000,8.0000,7.5000,8.0000,8.0000
55,156,humanities,False,7.8571,0.4756,8.5000,8.0000,7.5000,8.0000,8.0000,7.0000,8.0000
56,86,writing,False,8.0714,0.4499,8.0000,8.5000,8.5000,8.5000,7.5000,7.5000,8.0000
57,97,roleplay,False,8.5000,0.4082,8.5000,8.5000,9.0000,9.0000,8.0000,8.0000,8.5000
58,158,humanities,False,8.5000,0.4082,8.5000,9.0000,9.0000,8.5000,8.5000,8.0000,8.0000
59,85,writing,False,8.2143,0.3934,8.0000,8.0000,8.5000,8.5000,8.5000,7.5000,8.5000
60,119,math,True,8.2857,0.3934,8.5000,8.5000,8.5000,8.5000,7.5000,8.5000,8.0000
61,88,writing,False,7.8571,0.3780,7.5000,8.0000,7.5000,8.0000,8.0000,7.5000,8.5000
62,91,roleplay,False,7.6429,0.3780,7.5000,7.5000,7.5000,7.5000,7.5000,7.5000,8.5000
63,122,coding,True,8.1429,0.3780,8.5000,8.5000,8.0000,8.0000,7.5000,8.0000,8.5000
64,123,coding,True,8.3571,0.3780,8.5000,8.5000,8.0000,9.0000,8.5000,8.0000,8.0000
65,147,stem,False,8.3571,0.3780,9.0000,8.5000,8.5000,8.0000,8.0000,8.0000,8.5000
66,152,humanities,False,8.6429,0.3780,9.0000,8.5000,9.0000,8.0000,8.5000,8.5000,9.0000
67,159,humanities,False,8.3571,0.3780,9.0000,8.0000,8.5000,8.0000,8.5000,8.0000,8.5000
68,93,roleplay,False,8.0714,0.3450,8.0000,7.5000,8.5000,8.0000,8.0000,8.0000,8.5000
69,110,reasoning,True,8.0714,0.3450,8.0000,8.0000,8.5000,8.0000,8.0000,7.5000,8.5000
70,141,stem,False,8.4286,0.3450,9.0000,8.5000,8.5000,8.5000,8.0000,8.5000,8.0000
71,143,stem,False,8.4286,0.3450,8.0000,8.5000,8.5000,8.5000,8.5000,9.0000,8.0000
72,148,stem,False,8.0714,0.3450,7.5000,8.0000,8.0000,8.5000,8.0000,8.0000,8.5000
73,82,writing,False,8.0000,0.2887,8.0000,8.0000,8.0000,7.5000,8.5000,8.0000,8.0000
74,96,roleplay,False,8.0000,0.2887,8.5000,8.0000,8.0000,8.0000,7.5000,8.0000,8.0000
75,144,stem,False,8.5000,0.2887,8.5000,8.5000,8.5000,8.5000,9.0000,8.5000,8.0000
76,146,stem,False,8.7857,0.2673,9.0000,8.5000,9.0000,8.5000,9.0000,8.5000,9.0000
77,149,stem,False,8.7857,0.2673,9.0000,9.0000,9.0000,8.5000,8.5000,8.5000,9.0000
78,89,writing,False,7.6429,0.2440,7.5000,7.5000,7.5000,7.5000,8.0000,8.0000,7.5000
79,153,humanities,False,8.3571,0.2440,8.5000,8.5000,8.5000,8.0000,8.5000,8.0000,8.5000
80,112,math,True,8.0000,0.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000
