judge_label,split_id,dev_models,test_models,dev_size,test_size,n_questions,topdisc_rho,topdisc_tau,topdisc_pairwise_acc,topdisc_top1_match,random_trials,random_mean_rho,random_std_rho,random_min_rho,random_max_rho,random_p05_rho,random_p95_rho,random_mean_tau,random_mean_pairwise_acc,random_mean_top1_match,topdisc_beats_random_trial_rate
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.978,0.06569627082262736,0.6,1.0,0.8,1.0,0.9633333333333334,0.9795833333333334,0.92,0.105
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,40,1.0,1.0,1.0,1.0,200,0.997,0.02431049156228643,0.8,1.0,1.0,1.0,0.995,0.99625,0.98,0.015
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,60,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,10,1.0,1.0,1.0,1.0,200,0.73,0.2703701166919155,0.0,1.0,0.19999999999999996,1.0,0.6981666666666666,0.8341666666666667,0.635,0.67
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,20,1.0,1.0,1.0,1.0,200,0.884,0.1701293625450939,0.19999999999999996,1.0,0.4,1.0,0.8416666666666667,0.9133333333333333,0.815,0.435
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.902,0.14831048513169928,0.19999999999999996,1.0,0.8,1.0,0.8703333333333333,0.9270833333333334,0.85,0.395
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.931,0.1274323349860623,0.4,1.0,0.8,1.0,0.9066666666666666,0.9491666666666667,0.915,0.285
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,40,1.0,1.0,1.0,1.0,200,0.95,0.09949874371066197,0.4,1.0,0.8,1.0,0.9309999999999999,0.9625,0.96,0.23
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,60,1.0,1.0,1.0,1.0,200,0.983,0.05577633906953735,0.8,1.0,0.8,1.0,0.9783333333333333,0.9875,1.0,0.085
qwen32,3,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Zephyr-7B-beta","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,10,1.0,1.0,1.0,1.0,200,0.865,0.1413329402510257,0.19999999999999996,1.0,0.6,1.0,0.8123333333333334,0.8966666666666667,0.705,0.57
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,20,1.0,1.0,1.0,1.0,200,0.909,0.11966202405107478,0.4,1.0,0.8,1.0,0.8643333333333333,0.9279166666666667,0.685,0.405
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.921,0.10177917272212422,0.6,1.0,0.8,1.0,0.8833333333333333,0.9375,0.72,0.385
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.927,0.0962860322165162,0.8,1.0,0.8,1.0,0.89,0.94125,0.695,0.365
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,40,1.0,1.0,1.0,1.0,200,0.9460000000000001,0.091016482023862,0.6,1.0,0.8,1.0,0.9183333333333333,0.9570833333333333,0.775,0.265
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,60,1.0,1.0,1.0,1.0,200,0.983,0.05577633906953735,0.8,1.0,0.8,1.0,0.9783333333333333,0.9875,0.935,0.085
qwen32,4,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,gemma-2-9b-it","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,10,1.0,1.0,1.0,1.0,200,0.916,0.11892854997854803,0.4,1.0,0.8,1.0,0.88,0.9320833333333334,0.875,0.37
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,20,1.0,1.0,1.0,1.0,200,0.958,0.08388086790204306,0.6,1.0,0.8,1.0,0.9316666666666666,0.9641666666666667,0.95,0.205
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,25,1.0,1.0,1.0,1.0,200,0.975,0.06614378277661476,0.8,1.0,0.8,1.0,0.9616666666666667,0.9791666666666666,0.975,0.125
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,30,1.0,1.0,1.0,1.0,200,0.987,0.04930517214248419,0.8,1.0,0.8,1.0,0.9816666666666667,0.99,0.99,0.065
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,40,1.0,1.0,1.0,1.0,200,0.994,0.03411744421846395,0.8,1.0,1.0,1.0,0.99,0.9945833333333334,0.995,0.03
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,60,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,5,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,granite-3.1-8b-instruct","SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,10,0.8,0.6666666666666666,0.8333333333333334,0.0,200,0.79,0.23043437243605824,0.19999999999999996,1.0,0.19999999999999996,1.0,0.7306666666666667,0.8470833333333333,0.5,0.175
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,20,0.8,0.6666666666666666,0.8333333333333334,0.0,200,0.798,0.22626533097229015,0.19999999999999996,1.0,0.39000000000000024,1.0,0.7323333333333333,0.8575,0.555,0.165
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.847,0.18652345696989428,0.19999999999999996,1.0,0.4,1.0,0.8026666666666666,0.8925,0.62,0.56
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.859,0.1830819488644361,0.19999999999999996,1.0,0.4,1.0,0.8123333333333334,0.9,0.615,0.505
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,40,1.0,1.0,1.0,1.0,200,0.927,0.10803240254664337,0.4,1.0,0.8,1.0,0.896,0.9429166666666666,0.74,0.345
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,60,1.0,1.0,1.0,1.0,200,0.952,0.08541662601625047,0.8,1.0,0.8,1.0,0.9383333333333334,0.9645833333333333,0.82,0.24
qwen32,6,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Yi-1.5-9B-Chat","Phi-3.5-mini-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,10,0.8,0.6666666666666666,0.8333333333333334,0.0,200,0.496,0.48742589180305146,-1.0,1.0,-0.6099999999999999,1.0,0.43966666666666665,0.7070833333333333,0.455,0.495
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,20,0.8,0.6666666666666666,0.8333333333333334,0.0,200,0.6890000000000001,0.34853837665313125,-0.8,1.0,0.0,1.0,0.6373333333333333,0.8075,0.585,0.33
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.726,0.2995396467915391,-0.8,1.0,0.19000000000000017,1.0,0.6593333333333333,0.8191666666666667,0.61,0.725
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.8210000000000001,0.21670025380695795,-0.3999999999999999,1.0,0.4,1.0,0.761,0.8720833333333333,0.67,0.6
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,40,1.0,1.0,1.0,1.0,200,0.859,0.15335905581347323,0.19999999999999996,1.0,0.6,1.0,0.8029999999999999,0.8916666666666667,0.685,0.57
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,60,1.0,1.0,1.0,1.0,200,0.9450000000000001,0.09785192895390463,0.6,1.0,0.8,1.0,0.9296666666666666,0.9595833333333333,0.835,0.255
qwen32,7,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,Zephyr-7B-beta","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,8,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,gemma-2-9b-it","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,10,0.8,0.6666666666666666,0.8333333333333334,1.0,200,0.751,0.2541633333114751,0.19999999999999996,1.0,0.19999999999999996,1.0,0.6769999999999999,0.83,0.55,0.23
qwen32,8,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,gemma-2-9b-it","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,20,1.0,1.0,1.0,1.0,200,0.849,0.19646628209440928,0.19999999999999996,1.0,0.4,1.0,0.7916666666666666,0.8904166666666666,0.705,0.525
qwen32,8,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,gemma-2-9b-it","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.884,0.1591979899370592,0.19999999999999996,1.0,0.8,1.0,0.834,0.9104166666666667,0.79,0.47
qwen32,8,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,SOLAR-10.7B-Instruct,gemma-2-9b-it","Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat,Zephyr-7B-beta,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.901,0.14832059870429326,0.19999999999999996,1.0,0.8,1.0,0.8593333333333333,0.925,0.85,0.405
